id,city,country_code,lat,temp,humidity,windspeed,cloudiness
5989520,kashechewan,CA,52.3,34.41,68,3.74,0
1511057,bakchar,RU,57.02,20.95,76,6.98,24
1244926,hambantota,LK,6.12,79.27,100,8.21,44
1215502,banda aceh,ID,5.56,72.16,100,1.95,0
1689431,san jose,PH,15.79,74.32,87,2.06,88
1487762,varnek,RU,69.71,27.34,100,19.06,76
285788,muḩāfaz̧at al ‘āşimah,KW,29.33,77.0,73,11.41,0
3470583,barreiras,BR,-12.15,92.05,30,3.74,76
6618988,britanski trg,HR,45.81,55.4,32,16.11,0
6185377,yellowknife,CA,62.46,28.4,86,3.36,90
2405274,mogbwemo,SL,7.77,79.99,84,4.74,0
7577101,melilla,ES,35.29,65.14,88,2.24,0
3369157,cape town,ZA,-33.93,69.8,60,20.8,0
6690689,cayenne,GF,4.94,86.0,70,11.41,75
6171633,ucluelet,CA,48.93,51.8,93,3.36,90
6067747,matagami,CA,49.75,37.4,86,4.7,90
3388456,sao jose da coroa grande,BR,-8.9,77.29,85,9.78,100
977363,meadowlands,ZA,-26.2,59.43,55,11.41,20
6693229,san nicolas,AR,-34.61,75.67,78,12.75,75
2267254,lagoa,PT,37.14,66.2,93,6.93,0
8223990,kolonaki,GR,37.98,62.6,48,21.92,20
503878,pustoshka,RU,56.34,38.91,98,3.62,92
3652764,puerto ayora,EC,-0.74,77.0,61,14.99,75
3459094,laguna,BR,-28.48,68.34,90,8.66,68
5354943,half moon bay,US,37.46,60.04,93,3.36,90
1712961,gigmoto,PH,13.78,79.0,100,7.76,68
6325494,quebec,CA,46.81,52.72,93,10.29,90
2171722,charters towers,AU,-20.1,72.25,91,8.1,0
1078317,amparihy,MG,-25.02,64.4,88,6.93,75
1497543,nizhnevartovsk,RU,60.93,21.2,92,6.71,0
3461425,ilhabela,BR,-23.78,72.07,100,10.22,88
5197732,lenape heights,US,40.76,41.38,100,4.7,90
3451138,rio grande,BR,-32.03,71.6,73,14.99,75
2075265,busselton,AU,-33.65,53.53,100,4.52,0
504021,pushkari,RU,53.0,40.39,96,12.57,92
1649593,baturaja,ID,-4.13,71.76,99,4.85,80
3354071,oranjemund,NA,-28.55,59.79,89,2.95,8
8010689,ribeira grande,PT,37.8,69.8,94,4.7,40
2419992,kankan,GN,10.39,79.63,23,9.1,0
2027044,batagay,RU,67.63,-0.65,76,6.64,64
